ROM Checksum	RA Checksum	CRC	Filename
3640e13b193047f763735a9864cf3748	3640e13b193047f763735a9864cf3748	1FBCE8BF	building.o
656028f8aae81277c622ad07dab6701d	70ac742ee6723d469068910342835c42	2751AD5F	builingup.lnx
8dcd21437c41430b27f384bbcdbdbaf7	8dcd21437c41430b27f384bbcdbdbaf7	5538EB7A	Bzone.rom
ad77176aa53646c2f9689c72d0e99f90	ad77176aa53646c2f9689c72d0e99f90	AB57EC58	Bzone008.rom
73e02bb77dcf857a6578f0e24b4ecb9e	fdb88da6221360209a9159965658efa4	A08F0B59	california games (euro, usa).lyx
8c6f449f3fda4fced6bd6fca1d906ca2	73e02bb77dcf857a6578f0e24b4ecb9e	CC9D4ED6	cape4_pal_8_83.o
503dd8d220e912bb996a90a6fc55f669	8c6f449f3fda4fced6bd6fca1d906ca2	B49833E7	Cardhead.lyx
643a98e485408810726f41f0dae8bfdc	503dd8d220e912bb996a90a6fc55f669	0E3C3C1D	CARDHEADER.lyx
ea3cd49d7c63267f59a8965adc41962f	643a98e485408810726f41f0dae8bfdc	0F4259B7	cards test.lnx
15e895114469d6dd203bece0d21af035	ed160ab0dad1dfdf1d33fabca819cb34	15B4F31B	cart demo.lnx
16443c863356834b8dda2ebd7c93453b	44a9140974e755d927333f2a62942799	E0D758D1	Castle Of Khon-Gis, The.lyx
61903373ad694aeff3dd17cb16f155f5	16443c863356834b8dda2ebd7c93453b	94E0B754	Castle Of Khon-Gis, The.o
54eec928a78a71e254f1cc1c0dbb9c49	61903373ad694aeff3dd17cb16f155f5	D04DD5D2	catkanoid (Sebastain Mihai).lnx
13cb869b95c67c532efdd0e924e37299	647c80065827bca3d3739a73fef65e72	97501709	Centipede (USA) (Prototype).lyx
76c1d81d0da58be3ef723bba5b9d0ea6	13cb869b95c67c532efdd0e924e37299	402B5D6C	cf - Oooh, what is it going to be.o
81f5c121b499d04813522d382d5a0ca9	76c1d81d0da58be3ef723bba5b9d0ea6	20999493	C-Gull (2007)(Sampo).lnx
a4234e4672780a32144731d2cfcf6086	a4234e4672780a32144731d2cfcf6086	AFBFB157	Charge Field 2 - charges animated.o
152e9466545685bc418fa920b7023b74	152e9466545685bc418fa920b7023b74	23DF0434	Charge Field 2 - meters.o
85b33c5e5985ab041ecc44555a8cfb42	85b33c5e5985ab041ecc44555a8cfb42	19C5A7A5	checkered flag (euro, usa).lyx
914309c4ec1f9a55b1b78ae879b3f792	a770519a223de3aa4bdeba13b2fa1aed	9524EC5F	chip 8 enu.lnx
24611d1445ebd34ab79fb0ae996ff4e4	24611d1445ebd34ab79fb0ae996ff4e4	6A5F53ED	chip's challenge (euro, usa).lyx
41f704acc2b1629e52bb7471e3d05d01	41f704acc2b1629e52bb7471e3d05d01	C2751780	Choplifter (2000) by Jum Hig (PD).o
f0023ddfed214daabb4099de7ef53ab7	f0023ddfed214daabb4099de7ef53ab7	EA95C004	Choplifter by Jum High (PD).o
fe6150443e0bfedd9b627ee31db3bd79	fe6150443e0bfedd9b627ee31db3bd79	8B23867E	chopper 4 lynx (2005) (James Higgs).o
aedf9a938aae5bd7c7a208ef4ad46224	aedf9a938aae5bd7c7a208ef4ad46224	1A86810C	Clicks! Version 6.lyx
55b7a1e0ec0f4861a0bcb5f0aeb971b1	55b7a1e0ec0f4861a0bcb5f0aeb971b1	730C51FC	Collision Detection (Collision) (2009.10.23 11.32) (Game).o
d30778bde3f00a613884aaf7a20feba3	d30778bde3f00a613884aaf7a20feba3	C0724562	Collision Detection (Collision) (2009.10.23 11.32).lyx
8708d446d3d0aa10cfa890504d29ba12	8708d446d3d0aa10cfa890504d29ba12	34B88746	Collision logicielle test.o
f0937fdfb99c4b912f005017cfe4a5ee	671a3b6b7e777dfaa3d197844781b5bb	A317388E	Collision01 Sprdemo05.lnx
b08fd109883219359a7696edc2c4dba1	7e097a77be8ce006ec72c9dbb740ad1a	075E6F76	Collision02.lnx
7bd814b5e07695f59c6f2ae22b96e321	2e4f301a23aef700aedf18477c237a2c	33FB3796	Collision03.lnx
d74c8892e4bd1f3b0463ebfa9e702162	2810d0b6a6fde8e5bce8d87fa0a928d3	C9983E6F	Colours demo.lnx
2cce9de9474b03e9268475ff933a7f4b	2cce9de9474b03e9268475ff933a7f4b	77B9B738	columns (2007)(Cooper).o
388a04922513efcf9850f3a1188855f3	14b3f1fd46dbd54322bcd6a0e70b7c8b	8179896C	Conquistador [a].lnx
85f74ec751bdce0ada934c7502d2f3ee	85f74ec751bdce0ada934c7502d2f3ee	8CEAC7DD	Conquistador.o
b4acbd3c544a0d92cc8ad1380bf8a810	b4acbd3c544a0d92cc8ad1380bf8a810	AEC474C8	crystal mines ii (euro, usa).lyx
f42c813d15286f8868d7b10afa06cfe4	80bfb9ec717290606a754d87f1ad582e	5C1CF0B9	cube3.lnx
a0e9479d58dfdd02924fae3d00ab1c1d	f8b4debd68eb0d7c578242fa74e1c593	9E6B7645	Daemonsgate (USA) (Proto).lnx
cb8ddfcf3a27fcaa541d09363168fe3d	cb8ddfcf3a27fcaa541d09363168fe3d	6F62E689	decaration multiple 0.1.o
8600efd2dd8ee812de00a5ce7631293d	f8b4debd68eb0d7c578242fa74e1c593	DB339A17	demonsgate [prototype].lnx
f764b88c44afa8b5ebefb8eb2e4d7b97	f764b88c44afa8b5ebefb8eb2e4d7b97	B9AC1FE5	desert strike - return to the gulf (euro, usa).lyx
e14efebe26ab8538e5fef83bed47ba7b	e14efebe26ab8538e5fef83bed47ba7b	3CE6EF94	devoecosmostea_pal_8_83.o
0b85db6fe5d6d5b989407ee81c51fd4f	f298d186194a10d17897af5637725c3a	4FA19868	diaporama.lnx
9496be61fd0675553f05345c5fc2d15c	9496be61fd0675553f05345c5fc2d15c	50386CFA	dinolympics (euro, usa).lyx
8cd77bec912c9b4dcebd8a82dcf91a0b	8cd77bec912c9b4dcebd8a82dcf91a0b	D565FBB7	dirty larry - renegade cop (euro, usa).lyx
6210e9f649c228b7bc9f986f3440a5b0	6210e9f649c228b7bc9f986f3440a5b0	F0249AF7	disney_pal_8_83.o
4c2876be22e1a07452f5fae960672cb9	d6fe13584aff7921238a2c8f08582d77	BE515D1C	divide_by2.lnx
7502273f7f0047bc419a27dfdfbfc173	7502273f7f0047bc419a27dfdfbfc173	4B2D4E72	dolphin_pal_8_83.o
fcf0440adc4bbfbd52e0f57ede118686	4150367e87982f71b74feab30d1c1e61	70DD7363	doom demo v1.lnx
9364ae7e8a3094e8e0f3c6cec39c05dd	3733a8c2838d3aa3002fdf1c006ec6ba	8452F18D	doom demo v2.lnx
0e91b7ed60bb47d569ba24df671ad3a3	0e91b7ed60bb47d569ba24df671ad3a3	FBFC0F05	double dragon (euro, usa).lyx
62fb6446f1ac790cf9d033a51eda084e	7ece80e8552e58bd659bd80fd50f4896	156BE7DB	downer.lnx
3ff35996887c2ff95e275085efbbbbed	3ff35996887c2ff95e275085efbbbbed	33BB74C7	dracula the undead (euro, usa).lyx
0ed2be7c3e8e244adb84944e426fabf0	0ed2be7c3e8e244adb84944e426fabf0	5598A4C9	DRAGNET  (DIGIDEMO).lyx
f5858d78edff837f4bf37b4ffea66d66	cbf53f7e38eb854dc8ac2945dddef580	B1B6BD1E	dsr_jitter_sillyventure2016_compo.lnx
c49ca94a908db219224c6d5baa206ab6	c49ca94a908db219224c6d5baa206ab6	BD97116B	electrocop (euro, usa).lyx
7e7e79bbd1eea860ce3350b349d661b0	d58dd3d26373a57c0d2c4fa1c2bdec6e	C78A5F9C	elvira demo v0.2.lnx
219838084446eb7cc46c243bd9d48d1a	219838084446eb7cc46c243bd9d48d1a	A7E62527	elvira1.o
32e726ab7941eb1e833dcc4cf348a060	32e726ab7941eb1e833dcc4cf348a060	F83397F9	EUROPEAN SOCCER CHALLENGE.lyx
858480bb97d86a52b1ca17dc390a8bdc	858480bb97d86a52b1ca17dc390a8bdc	6BCEAA9C	Eye of the Beholder (USA) (Prototype).lyx
802c51f5d202582e5c197b48dc5d519f	802c51f5d202582e5c197b48dc5d519f	84F905EE	eyeofbeholderddemo256.lyx
929f596ae4e6eb02cc0bba99b40ead5e	5f2e66d60ffadc8d7f9203eaf061eac0	5392C867	faller.lnx
ed26ccd962dff9e23307deecad812dc8	7d13bf00d357b066ad539e93d645121b	1DC0C3F3	fancy.lnx
69abd21c83390dae54630919c3c150d0	69abd21c83390dae54630919c3c150d0	9034EE27	FAT BOBBY (BETA).lyx
19eb0ca77284b5d91a63eb02f6962930	19eb0ca77284b5d91a63eb02f6962930	7E4B5945	Fidelity Ultimate Chess Challenge, The (USA, Europe).lyx
f28dfbdcce9ec815919185cbe51c4f20	f28dfbdcce9ec815919185cbe51c4f20	8AD287CE	fighter2.o
b35f08c012551e3b5230441969c23d57	120e0ba8a261720c111f3794f082e71d	29003415	Firefly-fixed.lnx
8cef60e52355fc3abe5274ac143348c7	8cef60e52355fc3abe5274ac143348c7	2B00D379	first.o
cce3398eb8157acc3b87440b3f8db0b7	cce3398eb8157acc3b87440b3f8db0b7	27AAD652	fission_01.o
69ef7586481eb662ef6a61320952b93b	69ef7586481eb662ef6a61320952b93b	1E540E14	fission_02.o
b4e96cef6b55deacc1249128518908c3	512a7b31281e71ea00a54326bc37b4e4	F2ACF3A0	fission_05.lnx
28c1f9daa177954bdf7081bd8b067e73	0a86cb45fc418efc71aaadf81b1c715f	12A0846E	fission_06.lnx
ab917f32daddd27cd76aaa382e8983bb	e21c7b792198519225c2c6e2f6c960b8	72AA55E1	fission_031.lnx
0775de1e19bda4b3d77adffeead2e9c9	1b7ca5be86e363532965ff13cd0da85c	6D539559	flappy bird demo 1.lnx
74392cf74afa1679a4e9101ba3a67eec	05203d7bdbe2db399d497e158bc5bac6	66C0F233	flappy.lnx
a0f19f043e5007e0a38ce7944d25d46a	1d70e4acb35b764e0dbb3e4311a27238	24104847	flappyee.lnx
34fb053ad35b033e09346c98d11c8d09	5681ca010491a781f18e609ec342fbc3	6B462B9B	flappylynx.lnx
921e7d4f4708d26a4a620d61d7ecf0d7	ac3e1872c13cf7b524c0d9cf996d98da	4062B181	flappyv002.lnx
8c0ef2370178b01782a1fe910cf5027c	ffab54d152498c4b530a637c4307f017	E44CEC78	flapsfx.lnx
f5dc72aab3395a544afc2d021205afa7	4ab589f4b03002ffb8456e18f613cd26	FC57EFCC	flapsfx2.lnx
124433588dde1ffeef48c1b49e4e6209	ee8b077d540ee0aac7b0c80d45a0bf7e	228AE373	flapvert.lnx
7b463f76a2dc30a00c08582cda189210	68c1b41562aa3f9549d18b956fdfba30	B3E2EA1D	flapvert2.lnx
ab22e10112349ec6d55ae563bdb0eafd	72f99c05778562fc99dc9591af3e61f9	922B99BA	flapvert3.lnx
f09cae4182ee44d1f2b2cb2958e277f7	5847b2303b36936c8b8b1d9726c25d0a	328234AA	flashing chars demo.lnx
