rom	md5	crc	v14
Arkanoid (Japan).nes	5611e832777ff1f4fe5ea8f25d2f54cf	04F6FD68	d55c2083ddc86ac3da2a7c90c9768bf9
Arkanoid (USA).nes	6a2bfa3c6e9b1ce1e21aabd0dfbf2779	EE93A28C	6d50fb8036b30ac719945742b4dc0ee0
Arkanoid II (Japan).nes	83a6e0d589d5c9490f757b5a115e8c06	0F141525	b3630072c81944a0b168819b5ac61b61
Arkista's Ring (USA).nes	99acc5f49d953eafdce418ee21bc63ca	CD3AA2A5	4865b9dbcbd6ccb8dedc8767941c8678
Armadillo (Japan).nes	0e75b6acb92fe3925db58941e4983ffe	AE73E0C2	c43ece9a3a808db3b7095a9606be3010
Artelius (Japan).nes	352806f0f18cd0ff878aea591f1c8dde	D071A15D	4430e6640ac8df64edea7e85d3dacb94
Asmik-kun Land (Japan).nes	98115ee02e697f7f9e8c6b2da5c5f662	3F871C93	91d885ae785277be04e770490e2433e9
ASO - Armored Scrum Object (Japan).nes	425a2ef404edce4160e57f6097d93086	3AFDB6EE	f1833362d86685c9bb4550cfe9e1cad2
Asterix (Europe) (En,Fr,De,Es,It).nes	17c6b5cc593cc8276cb6131584bfd609	DE7E6767	87cf2dbd01609ed6fff6a1a022f41c72
Astro Fang - Super Machine (Japan).nes	d922fa3cf185805716c209ca6f89d9ba	C3DAE718	d7b9b75567e4db8b7045d8dfc54a887d
Astro Robo Sasa (Japan).nes	00228c95eddba9a604b6e8e3760a57b3	CAB240B1	6bca9dc999f02806a5b424c59ad1dfcc
Astyanax (Europe).nes	731786578db4c4dd6b32cc36ced94023	6B87535B	fc546c99aa19c25f27b3116541cf3118
Astyanax (USA).nes	c20b630cec2ff87f796e9f1004d8bc5e	2FDFBC79	1416f38ee082df901924ade572fdd8a3
Athena (Japan).nes	f7f5ad43d83c292e0e977a0beebb22cd	B8C436AE	a473add2748fff337ac22993338d3edc
Athena (USA).nes	766b9bdb269df5a3f409a08d7b615bf0	14D42113	924d290aef716ae833de99d460e0fd37
Athletic World (USA).nes	67d8d9b60aeabe820251dbbf604a9562	585AF093	d125c60b45bdf329d41a15d749836ce6
Atlantis no Nazo (Japan).nes	14207aeb5b0ac4d2bc8db09313403e37	DCCBE3AE	32d9dddc0670fe4a8cda049e1580c452
Attack Animal Gakuen (Japan).nes	10796ae8f2a39d4bf5d1b3bf1cd02297	4E5C1C1D	13e451bcf72a98ebbacdc9eee8d95948
Attack of the Killer Tomatoes (USA).nes	b557edc2ca60df335e3e0d31cb3ae84c	11DC4071	38d0d586a0b0c85e12e51c54cd3e4cb0
Aussie Rules Footy (Australia).nes	00493c46a5915eeaa833a35d562ac0da	BB83CFA1	7318afe3b846aff581961701c91fe7b2
AV Hanafuda Club (Japan) (Unl).nes	4f3e66d135f7ad097d6fd85ee8730676	3F81F44B	794b4b909846f3649416a7712e7fc9a0
AV Pachi-Slot (Japan) (Unl).nes	e6ea372eeef50fea38c7fbeb1da43b4c	4B266E37	d926de51f17efea29173122efead2938
B-Wings (Japan).nes	1b24f09725092a2526fde24426eb6bc8	15A4FACB	d5f594607b3a0afc43dd207f3691d394
Babel no Tou (Japan).nes	6c0cd447297e95e45db35a4373dbeae1	154A31B6	ce7aaa4571a3b656fc564486f9342f8f
Baby Boomer (USA) (Unl).nes	7f1c00dbdf9dc473ea9c0063802403f8	ED58DDDD	b7bc324363ebbaa2d713a2c56f4718d8
Back to the Future (USA).nes	59028c487121086ec85664c01f995323	7C40D6C6	3313c8e9f38ac616af9405b0fdc33944
Back to the Future Part II & III (USA).nes	48bce1051afffc556cbd77e7662f2839	5A09134F	d57cf138a6d189bc9602a4230f5a1d0f
Bad Dudes (USA).nes	e5f71b547f6a8c6166c55b1baa7d21c5	3C8E79E9	6c9ca0103463eee5fc6180c30acae297
Bad Dudes vs. Dragon Ninja (Europe).nes	7200f0fb6bf5fa6f7d30dd2bb9a37ab1	A6B62256	feb66c77ad246ab56f79fbfd43957d3c
Bad News Baseball (USA).nes	88d47c3000077c44233d7cf57789e869	2D69DD94	35b9634fb5c285b967a9750a8cfa7a1e
Bad Street Brawler (USA).nes	c5ef3933a7825a86b62935adfe07fddc	C8272D9A	0c00d53cae957081e1c203ece3549ce9
Baken Hisshou Gaku - Gate In (Japan).nes	3c7aac92ffc6ccd75b06101e3c3049d7	7628273D	522bec49c24e5d7ef5abac7a005a41ba
Bakushou! Star Monomane Shitennou (Japan).nes	34799a2a0f3dd5bf6d14a95adaa41618	BE19588A	1df378f67b0ab1acc72f168f4649787e
Bakushou!! Ai no Gekijou (Japan).nes	e849c0406181a2dc40770305a1fee91d	F64BDE66	f5511b631d24bcc80b4f54b746f4597e
Bakushou!! Jinsei Gekijou (Japan).nes	35601da577eecfcc508307fa98de3fff	BB7DF07F	62ef5d4fcc583cf73af2f2e112251734
Bakushou!! Jinsei Gekijou 2 (Japan).nes	6b653409960e4b43f5b38bdd85fc93df	AB8580FD	b46b062c575033d7d05fd5bbb0e97e03
Ballblazer (Japan).nes	a206136cd768926e9ce1e6cce5f1942c	7B43B3EF	081b835396943ab7e43caef78d7debcb
Balloon Fight (Europe).nes	92a9ffbd935262654189e10ed058d906	6EDDA6B3	5afb29bd1bbada1fc5f9c4c5e514d70f
Balloon Fight (Japan).nes	04855cd998b41c56c22ce451b1879a05	A0DABE0A	7917033ec6861e19eb1aade34fca4e3a
Balloon Fight (USA).nes	6e125395ca4f18addb8ce6c9152dea85	CB8FD7B2	1de8e9bc225fb9fce33f3e1236af15bc
Baltron (Japan).nes	4174c893158de539bdd37a56bafe7ed0	F85F8769	e6d01fa0fa779befb7ca569defbc52a7
Banana (Japan).nes	a0f5e9f767c156660ead8d25d0831482	5AC41464	735675c255c43aeabb080ac4a54cadf4
Banana Prince (Germany).nes	fd8298959afd5c9e88b6c363b2f40402	A0F6EDEE	ad8fe7d202a02463d8a37fb43532d5d7
Bananan Ouji no Daibouken (Japan).nes	88aa384d916a7d513198af250c4e8f48	4C7E9492	66ecf7c35b7a50b5db2518b49a80cc5a
Bandai Golf - Challenge Pebble Beach (USA).nes	06b50c6ce3eaf327fe72a9770ad44b5e	23FF7365	98b98bd4b0f89a101c34708e9c74920d
Bandit Kings of Ancient China (USA).nes	5ef1ba9461974f34b0633eaf063490dd	A9E2BF31	7cd87e2c431a5af024bbc9519ba20999
Barbie (Europe).nes	a9b6df6ea89a5a91f2a467f88e824376	BED7D938	b4d01cb5a6def43987070b7528c4d063
Barbie (USA).nes	35297b58691ded8cd903ec1c3ab80282	36DF877A	2cd66884135f09e55343d378cfb476c8
Barcode World (Japan).nes	40e4b14511571a58c179343e84d056f0	AA6C313F	44151af330374c26a5590b3fc049150a
Bard's Tale II, The - The Destiny Knight (Japan).nes	f5b697664e2fbdc7ce6535625ec16e49	A14E4EB8	987f635b6de871bbe335ccad06186daf
