ROM Checksum	RA Checksum	Filename
ea3cd49d7c63267f59a8965adc41962f	643a98e485408810726f41f0dae8bfdc	cards test.lnx
15e895114469d6dd203bece0d21af035	ed160ab0dad1dfdf1d33fabca819cb34	cart demo.lnx
16443c863356834b8dda2ebd7c93453b	44a9140974e755d927333f2a62942799	Castle Of Khon-Gis, The.lyx
61903373ad694aeff3dd17cb16f155f5	16443c863356834b8dda2ebd7c93453b	Castle Of Khon-Gis, The.o
54eec928a78a71e254f1cc1c0dbb9c49	61903373ad694aeff3dd17cb16f155f5	catkanoid (Sebastain Mihai).lnx
13cb869b95c67c532efdd0e924e37299	647c80065827bca3d3739a73fef65e72	Centipede (USA) (Prototype).lyx
76c1d81d0da58be3ef723bba5b9d0ea6	13cb869b95c67c532efdd0e924e37299	cf - Oooh, what is it going to be.o
81f5c121b499d04813522d382d5a0ca9	76c1d81d0da58be3ef723bba5b9d0ea6	C-Gull (2007)(Sampo).lnx
a4234e4672780a32144731d2cfcf6086	a4234e4672780a32144731d2cfcf6086	Charge Field 2 - charges animated.o
152e9466545685bc418fa920b7023b74	152e9466545685bc418fa920b7023b74	Charge Field 2 - meters.o
85b33c5e5985ab041ecc44555a8cfb42	85b33c5e5985ab041ecc44555a8cfb42	checkered flag (euro, usa).lyx
914309c4ec1f9a55b1b78ae879b3f792	a770519a223de3aa4bdeba13b2fa1aed	chip 8 enu.lnx
24611d1445ebd34ab79fb0ae996ff4e4	24611d1445ebd34ab79fb0ae996ff4e4	chip's challenge (euro, usa).lyx
41f704acc2b1629e52bb7471e3d05d01	41f704acc2b1629e52bb7471e3d05d01	Choplifter (2000) by Jum Hig (PD).o
f0023ddfed214daabb4099de7ef53ab7	f0023ddfed214daabb4099de7ef53ab7	Choplifter by Jum High (PD).o
fe6150443e0bfedd9b627ee31db3bd79	fe6150443e0bfedd9b627ee31db3bd79	chopper 4 lynx (2005) (James Higgs).o
aedf9a938aae5bd7c7a208ef4ad46224	aedf9a938aae5bd7c7a208ef4ad46224	Clicks! Version 6.lyx
55b7a1e0ec0f4861a0bcb5f0aeb971b1	55b7a1e0ec0f4861a0bcb5f0aeb971b1	Collision Detection (Collision) (2009.10.23 11.32) (Game).o
d30778bde3f00a613884aaf7a20feba3	d30778bde3f00a613884aaf7a20feba3	Collision Detection (Collision) (2009.10.23 11.32).lyx
8708d446d3d0aa10cfa890504d29ba12	8708d446d3d0aa10cfa890504d29ba12	Collision logicielle test.o
f0937fdfb99c4b912f005017cfe4a5ee	671a3b6b7e777dfaa3d197844781b5bb	Collision01 Sprdemo05.lnx
b08fd109883219359a7696edc2c4dba1	7e097a77be8ce006ec72c9dbb740ad1a	Collision02.lnx
7bd814b5e07695f59c6f2ae22b96e321	2e4f301a23aef700aedf18477c237a2c	Collision03.lnx
d74c8892e4bd1f3b0463ebfa9e702162	2810d0b6a6fde8e5bce8d87fa0a928d3	Colours demo.lnx
2cce9de9474b03e9268475ff933a7f4b	2cce9de9474b03e9268475ff933a7f4b	columns (2007)(Cooper).o
388a04922513efcf9850f3a1188855f3	14b3f1fd46dbd54322bcd6a0e70b7c8b	Conquistador [a].lnx
85f74ec751bdce0ada934c7502d2f3ee	85f74ec751bdce0ada934c7502d2f3ee	Conquistador.o
b4acbd3c544a0d92cc8ad1380bf8a810	b4acbd3c544a0d92cc8ad1380bf8a810	crystal mines ii (euro, usa).lyx
f42c813d15286f8868d7b10afa06cfe4	80bfb9ec717290606a754d87f1ad582e	cube3.lnx
a0e9479d58dfdd02924fae3d00ab1c1d	f8b4debd68eb0d7c578242fa74e1c593	Daemonsgate (USA) (Proto).lnx
cb8ddfcf3a27fcaa541d09363168fe3d	cb8ddfcf3a27fcaa541d09363168fe3d	decaration multiple 0.1.o
8600efd2dd8ee812de00a5ce7631293d	f8b4debd68eb0d7c578242fa74e1c593	demonsgate [prototype].lnx
f764b88c44afa8b5ebefb8eb2e4d7b97	f764b88c44afa8b5ebefb8eb2e4d7b97	desert strike - return to the gulf (euro, usa).lyx
e14efebe26ab8538e5fef83bed47ba7b	e14efebe26ab8538e5fef83bed47ba7b	devoecosmostea_pal_8_83.o
0b85db6fe5d6d5b989407ee81c51fd4f	f298d186194a10d17897af5637725c3a	diaporama.lnx
9496be61fd0675553f05345c5fc2d15c	9496be61fd0675553f05345c5fc2d15c	dinolympics (euro, usa).lyx
8cd77bec912c9b4dcebd8a82dcf91a0b	8cd77bec912c9b4dcebd8a82dcf91a0b	dirty larry - renegade cop (euro, usa).lyx
6210e9f649c228b7bc9f986f3440a5b0	6210e9f649c228b7bc9f986f3440a5b0	disney_pal_8_83.o
4c2876be22e1a07452f5fae960672cb9	d6fe13584aff7921238a2c8f08582d77	divide_by2.lnx
7502273f7f0047bc419a27dfdfbfc173	7502273f7f0047bc419a27dfdfbfc173	dolphin_pal_8_83.o
fcf0440adc4bbfbd52e0f57ede118686	4150367e87982f71b74feab30d1c1e61	doom demo v1.lnx
9364ae7e8a3094e8e0f3c6cec39c05dd	3733a8c2838d3aa3002fdf1c006ec6ba	doom demo v2.lnx
0e91b7ed60bb47d569ba24df671ad3a3	0e91b7ed60bb47d569ba24df671ad3a3	double dragon (euro, usa).lyx
62fb6446f1ac790cf9d033a51eda084e	7ece80e8552e58bd659bd80fd50f4896	downer.lnx
3ff35996887c2ff95e275085efbbbbed	3ff35996887c2ff95e275085efbbbbed	dracula the undead (euro, usa).lyx
0ed2be7c3e8e244adb84944e426fabf0	0ed2be7c3e8e244adb84944e426fabf0	DRAGNET  (DIGIDEMO).lyx
f5858d78edff837f4bf37b4ffea66d66	cbf53f7e38eb854dc8ac2945dddef580	dsr_jitter_sillyventure2016_compo.lnx
c49ca94a908db219224c6d5baa206ab6	c49ca94a908db219224c6d5baa206ab6	electrocop (euro, usa).lyx
7e7e79bbd1eea860ce3350b349d661b0	d58dd3d26373a57c0d2c4fa1c2bdec6e	elvira demo v0.2.lnx
219838084446eb7cc46c243bd9d48d1a	219838084446eb7cc46c243bd9d48d1a	elvira1.o
32e726ab7941eb1e833dcc4cf348a060	32e726ab7941eb1e833dcc4cf348a060	EUROPEAN SOCCER CHALLENGE.lyx
858480bb97d86a52b1ca17dc390a8bdc	858480bb97d86a52b1ca17dc390a8bdc	Eye of the Beholder (USA) (Prototype).lyx
802c51f5d202582e5c197b48dc5d519f	802c51f5d202582e5c197b48dc5d519f	eyeofbeholderddemo256.lyx
929f596ae4e6eb02cc0bba99b40ead5e	5f2e66d60ffadc8d7f9203eaf061eac0	faller.lnx
ed26ccd962dff9e23307deecad812dc8	7d13bf00d357b066ad539e93d645121b	fancy.lnx
69abd21c83390dae54630919c3c150d0	69abd21c83390dae54630919c3c150d0	FAT BOBBY (BETA).lyx
19eb0ca77284b5d91a63eb02f6962930	19eb0ca77284b5d91a63eb02f6962930	Fidelity Ultimate Chess Challenge, The (USA, Europe).lyx
f28dfbdcce9ec815919185cbe51c4f20	f28dfbdcce9ec815919185cbe51c4f20	fighter2.o
b35f08c012551e3b5230441969c23d57	120e0ba8a261720c111f3794f082e71d	Firefly-fixed.lnx
8cef60e52355fc3abe5274ac143348c7	8cef60e52355fc3abe5274ac143348c7	first.o
cce3398eb8157acc3b87440b3f8db0b7	cce3398eb8157acc3b87440b3f8db0b7	fission_01.o
69ef7586481eb662ef6a61320952b93b	69ef7586481eb662ef6a61320952b93b	fission_02.o
b4e96cef6b55deacc1249128518908c3	512a7b31281e71ea00a54326bc37b4e4	fission_05.lnx
28c1f9daa177954bdf7081bd8b067e73	0a86cb45fc418efc71aaadf81b1c715f	fission_06.lnx
ab917f32daddd27cd76aaa382e8983bb	e21c7b792198519225c2c6e2f6c960b8	fission_031.lnx
0775de1e19bda4b3d77adffeead2e9c9	1b7ca5be86e363532965ff13cd0da85c	flappy bird demo 1.lnx
74392cf74afa1679a4e9101ba3a67eec	05203d7bdbe2db399d497e158bc5bac6	flappy.lnx
a0f19f043e5007e0a38ce7944d25d46a	1d70e4acb35b764e0dbb3e4311a27238	flappyee.lnx
34fb053ad35b033e09346c98d11c8d09	5681ca010491a781f18e609ec342fbc3	flappylynx.lnx
921e7d4f4708d26a4a620d61d7ecf0d7	ac3e1872c13cf7b524c0d9cf996d98da	flappyv002.lnx
8c0ef2370178b01782a1fe910cf5027c	ffab54d152498c4b530a637c4307f017	flapsfx.lnx
f5dc72aab3395a544afc2d021205afa7	4ab589f4b03002ffb8456e18f613cd26	flapsfx2.lnx
124433588dde1ffeef48c1b49e4e6209	ee8b077d540ee0aac7b0c80d45a0bf7e	flapvert.lnx
7b463f76a2dc30a00c08582cda189210	68c1b41562aa3f9549d18b956fdfba30	flapvert2.lnx
ab22e10112349ec6d55ae563bdb0eafd	72f99c05778562fc99dc9591af3e61f9	flapvert3.lnx
f09cae4182ee44d1f2b2cb2958e277f7	5847b2303b36936c8b8b1d9726c25d0a	flashing chars demo.lnx
759073299db51c855e26c691fb859c1d	82cccfd253d3524686644832c968a7aa	flayy bird demo vertical bad.lnx
d531517122505f9cf45a9cd8a2eaa785	3a58e77f4ca47907f645f25d20e62ad1	flayy bird tech demo.lnx
459addd45c2762c3222808c3826c0b00	459addd45c2762c3222808c3826c0b00	fractest0.bin.o
4ada00ae8607b2d42309d10ab6ccf518	4ada00ae8607b2d42309d10ab6ccf518	fractest2.bin.o
4307af448f439fc1052d90f2000beaee	4307af448f439fc1052d90f2000beaee	fractest3.bin.o
bf15057649db9597cdfb8282a201c8f1	bf15057649db9597cdfb8282a201c8f1	fruitbasket_pal_8_83.o
7bfd6b21b6771196ac375adf531bd753	cd662fe149081ed5b6971edbfa916b7e	gameblogfr demo.lnx
b344ac0c8f1a5924a98edb862940d497	b736dcb8eee3f8390c0ea7b3e236a37b	GameOfLife.lnx
73fbc98275890f806511449382fb81bf	73fbc98275890f806511449382fb81bf	gametest.o
c3f372990b0d534604018be4f7d86a9f	c3f372990b0d534604018be4f7d86a9f	garci (2007)(Cooper).o
d5be9118bcb14243468001b08c4aa21a	d5be9118bcb14243468001b08c4aa21a	gates of zendocon, the (euro, usa).lyx
0b572c0dfb938849eeec39b2c9583547	0b572c0dfb938849eeec39b2c9583547	gauntlet - the third encounter (euro, usa).lyx
8615d637f81eb7940500bbcadea7fada	8815ea087af1aa89b4f7b65bd3cb8534	Gauntlet 4-6-90.lnx
69480a274e4c11928f9ec70b8b724093	69480a274e4c11928f9ec70b8b724093	gif pour lynx - cercle de feu.o
98780ec060e990501020e8c6bc22d421	98780ec060e990501020e8c6bc22d421	gif pour lynx - galaxie.o
8b89f5585fb7ad4a580e1cac366fed5e	8b89f5585fb7ad4a580e1cac366fed5e	gif pour lynx - la marche de l'alien.o
1eba5a17dde2d20779e14b1089e934f8	1eba5a17dde2d20779e14b1089e934f8	gif pour lynx - marche pas.o
8b6a0c76967928468196423c0462129d	8b6a0c76967928468196423c0462129d	gif pour lynx - mickey.o
2aaa72581f878f08fe6db391fd94a82d	2aaa72581f878f08fe6db391fd94a82d	gif pour lynx - perdu.o
4946a013ee6ea0a9bd60cfcedaeb5d2e	4946a013ee6ea0a9bd60cfcedaeb5d2e	gif pour lynx - smurf.o
8943e317c135ea51d3f9ba9116fe7c20	8943e317c135ea51d3f9ba9116fe7c20	gif pour lynx - spirale.o
9b8240592a67898c06d7040e3856e871	9ff5fa01a6bcbee4cb489f01b29dd5e2	Glob Shoot 0.6.lnx
b2d69fde079abe8f4dc797be7dc145b5	53f1bac4bc89ce073b93ad26631dfa30	Glob Shoot 0.61.lnx
d4ef1ab6f529ade6c7815d2b132387c6	a389c0f2aa23ee55e479a4a08627b391	Glob Shoot 0.62.lnx
481567830b4367a5c3e89e4ec731e279	481567830b4367a5c3e89e4ec731e279	globshoot_0.0_test.o
53147e097d442d2bce947dab04ff2a00	53147e097d442d2bce947dab04ff2a00	globshoot_0.2.o
b17979f66e1f780e794db7bdbdde3efd	a028190c8e34a757a51a0538dc8dfe6d	globshoot_0.3.o
a028190c8e34a757a51a0538dc8dfe6d	30bfd9f49ef41c0be55efb3585852b12	globshoot_0.3_romeo0.1.o
30bfd9f49ef41c0be55efb3585852b12	b17979f66e1f780e794db7bdbdde3efd	globshoot_0.3_romeo0.2.o
878985267ea1532c7a6939cb7ce0750d	878985267ea1532c7a6939cb7ce0750d	globshoot_0.4.o
3bd4c6e767190405ad2d2f2ac3bd9fe9	3bd4c6e767190405ad2d2f2ac3bd9fe9	globshoot_03.1.o
1676ab85ec4a881dc4abce882f614695	1676ab85ec4a881dc4abce882f614695	globshoot_05.o
d54ff8e1150cb60e54d79d534fae458d	d54ff8e1150cb60e54d79d534fae458d	gnop 0.4SE.o
623354ec6da68ce483feb46063a98022	623354ec6da68ce483feb46063a98022	gnop 0.6.o
df631abdff388dfca76390804970073b	327ab0968fee7a926123a09bc9798db4	gomoku_alpha.lnx
eb9b5b2b6160e5f3015bc2a669d886b6	eb9b5b2b6160e5f3015bc2a669d886b6	gordo 106 - the mutated lab monkey (euro, usa).lyx
c88e5fa908278bc493daf3cdbfc6384f	c88e5fa908278bc493daf3cdbfc6384f	GOTBALLS (O).o
0fbe259f695f630753c6f0fbaf3c73ab	70649fa14951f52c8a9f07bfdac44bb1	gotballs.lnx
fb8b4f50bb7e20742c8bad2d1cb3efb6	fb8b4f50bb7e20742c8bad2d1cb3efb6	gravitar physics techdemo.o
183ae833a6e5ebe4060ba3efbaef4da5	80b3d1d7e2816279cde50653d3275f63	Great Classics cart.lnx
3b39c02712fbe02d47431c2f42eb1b15	3b39c02712fbe02d47431c2f42eb1b15	gwc v2.o
114da41e9b301b3e4f25f5e36fb66077	114da41e9b301b3e4f25f5e36fb66077	gwc.lyx
2e4065427aeede3fb1ce61711f6357d6	2e4065427aeede3fb1ce61711f6357d6	gwc.o
871a7e695d1dd5fcdf57bb9f243a8709	d850fd265bba0ae304aabfa8fe428f36	gwn_demo.lnx
0cfea42b697a7c1522d0d7de44330d9a	acd11acc42286cc9eea1528252a39cee	Haiku.lnx
2aa9e7a148c0a15fe187c06274c745e7	2aa9e7a148c0a15fe187c06274c745e7	Hallo Welt! (1996) by Bjoern Spruck (PD).o
ccd2e07e255be9e2a81f8fe197a2868d	ccd2e07e255be9e2a81f8fe197a2868d	Hallo Welt! 2 (1996) by Bjoern Spruck (PD).o
ef258eaafb56774f239edd92c29d5542	f4abc61e755a77967d800cfa2782a6e9	handy demo 32by32 multiply.lnx
327bb1275d0bcf0876349da68b2d57f6	51037f92d8577fcfbe648696d34c23e7	handy demo unsigned divide.lnx
d1b13d437ac99cf7b78b63c2e4d43418	200ef46c45cc300a3b4e9db7312f4b18	handy devkit math samples (multiply).lnx
c824c8d876445709302682269437917f	f2137ed083613e20a34421ac0e32d6aa	handy devkit music samples (arabtile).lnx
8003c3a447785eb3f6ca53adc8d548bc	8c123d5b96d3eafc4c626cb240721743	handy devkit music samples (bass).lnx
080a459088f6067a6a0712866ff2fbfb	9d214efed1c8e54432d98fd1e1969b10	handy devkit music samples (bmx).lnx
e67d9fbc9cc63ed943c12b5f5f727abb	b450a1f0d78c75e644da7dea2b4e9da8	handy devkit music samples (buzybee).lnx
76ed9fe12b0f5839739c68afe85848a5	dc10c6e1f34b9c90a8690b5338510215	handy devkit music samples (connected).lnx
1de8134884c199b828074a2b7c1fb08b	3673b8474c3a104bdaa68f63476eabab	handy devkit music samples (endtile).lnx
4369e39dce83897125d887586c900ed7	72ccfd375a3f36eac2e0187e93cc97dd	handy devkit music samples (liberty).lnx
fe01a1378227e29a812b27a7f5247576	42f1b1ad3fcb372e167d855cc12791de	handy devkit music samples (points).lnx
810d23194eea5231afa57d5b71a5bc2a	b3f64072b140b3d0ccf053216ac3b046	handy devkit music samples (sfxcall).lnx
81ac93d1287d001119432b5c9587653c	d01be5647fb64f093556e79c98d7d105	handy devkit music samples (sink2).lnx
eedb729aa6e428e8a53bb770c5b14628	0fe7b2465dd3181fbe4683d74ea6df98	handy devkit music samples (spaceone).lnx
93871b94a7cab02722d73a605026d65d	4fdf8cc9b796218a301038dc473061f4	handy devkit music samples (summer).lnx
e4ec9186b9933ffd687d991a7e631810	0e00a2cbadfe5dc87c9817f213c3076c	handy devkit music samples (tester).lnx
9635166f3806eb10a6cd55bb41ce719c	33a4d0def2dd9016d5392b8d176f9139	handy devkit music samples (tokimain).lnx
502a8c97739b71c1a66613efb360f9dd	89f9283daaed34877d9af960d2c711a9	handy devkit musics amples (roadrace).lnx
49f4630050a318a7e0e7258f59411039	d10afb0bc0aea1db47f417b361906cc6	handy devkit samples (digidemo).lnx
89c2d354731dc9c713a439bfaed5eda6	8e138a2710cca5c3046c7c79d9a5b87e	handy devkit samples (mandel).lnx
ce4df7c93d67d2b352d4386afb7b3ad7	eed42bd34e8d23a0289ae198be176cda	handy devkit samples (song sfxall).lnx
b1f352c0cb41b183a4a3fc64a65afa9e	e810ebc3fc4eac5de5fa6993d1b5c29c	handy devkit samples (testaudio).lnx
0c4a7e3fd63bfe08e60a6c7a2f16ca21	1bc4c5495da752408cc005d96568d629	handy devkit samples (testcart).lnx
dd7ad326ee75509d2495fb3ce936cf8c	d0a4e2cedf299508bb38b00a86be93ad	handy devkit samples (testcontrols).lnx
adc71f2aa4788903dfa302582535622b	7b0f8f1c1c6887ab16b67f1342d60e95	handy devkit samples (testhmusic).lnx
f51a3510d188528247d0a7d5ae32e02e	f1f70d4c74706ebef42975d6384b17a5	handy devkit samples (testhprint).lnx
7574c6a0e0a93e67842fe9f4ebbb865c	8bd726496a84329f77f33df004df0d29	handy devkit samples (testredeye2).lnx
d1c7c33c45296539a34cbb6f3d2b6a7f	6ce818e29c73ef9b3bc11d5d0ca5327e	handy devkit samples (testsprite2).lnx
3aadd89c77e8ec16e74d3ba8ff036c75	78d62058bb366d2c39d69580cc33ef28	HandyAudition(1).lnx
ff9d792337036aefb1719ab675d83ab7	a619f75615ec459f65913c3850b4c086	HandyAudition(2).lnx
