ROM Checksum	RA Checksum	CRC	Filename
c7ecd303ef43ae56696027792600ef6e	c7ecd303ef43ae56696027792600ef6e	A42DD493	Demo 5 by Bastian Schick (1996) (PD).lnx
c1a279e00c00c89ca5489ae851e33fb9	c1a279e00c00c89ca5489ae851e33fb9	93D96D79	Demo 6 by Bastian Schick (1996) (PD) [a1].lnx
f8abed0d7f31aa2569cfdd9760f4dbdd	f8abed0d7f31aa2569cfdd9760f4dbdd	87C75DFF	Demo 6 by Bastian Schick (1996) (PD).lnx
c6fdf3c623c03d34f8265ae0962e7548	5c8fc2c7dbd17c7008e4903ca6a39b0e	DE0EC161	Desert Strike - Return to the Gulf (1993) (Telegames) [b1].lnx
e0e0c8320b5897147c9a6c72a84f06dd	f764b88c44afa8b5ebefb8eb2e4d7b97	2EAAE973	Desert Strike - Return to the Gulf (1993) (Telegames).lnx
c2e074c4a84967dcb4c8e3001720f44f	a8bb541eccff0fd599cc1ccebee175bd	43E6F249	Digidemo (199x) (PD).lnx
2dd0b28be52a9e1ca2cdaaf440aad055	0cbf13c0735d5fa7c3c48c66e10c5d82	4525DB06	Digidemo 2 (199x) (PD).lnx
1e4c04b10db1182393f864d44ae1f6c7	330633421b0dad5cd82e95558d29a41f	47D57C30	Dinolympics (1992) [b1].lnx
673ad7130698273497b52c37bcf9103d	9496be61fd0675553f05345c5fc2d15c	0ED9EB06	Dinolympics (1992).lnx
a76d7e0e4703466a029f34196a2ae7e6	062d1d468e75841750402a88ca3e6520	D3AE054A	Dirty Larry - Renegade Cop (1992) [b1].lnx
305bfffb0e969c5d8d9f19d8dc639dc2	8cd77bec912c9b4dcebd8a82dcf91a0b	C6017733	Dirty Larry - Renegade Cop (1992).lnx
044935f25240dda2c4ef0c09e9ac7eb5	9ce4a2f3791586535d8bfc0bc924deb0	A4E78202	Double Dragon (1993) (Telegames) [b1].lnx
256a8ea2c21ba0f69ac9dd71421d5b54	0e91b7ed60bb47d569ba24df671ad3a3	BCB2E75A	Double Dragon (1993) (Telegames).lnx
2e1cc095c8080e6abb57a776b9ac1479	42c4df3d24ff75315aa4cfb76dadf923	ADFB50E9	Dracula - The Undead (1991) [b1].lnx
9fd7f9de725fe89c196c5e3ae06993e6	3ff35996887c2ff95e275085efbbbbed	0F4B4071	Dracula - The Undead (1991).lnx
4998f68538f8107774460cdc3e834f87	0ed2be7c3e8e244adb84944e426fabf0	7CDC4F1B	Dragnet (1995).lnx
372b28820e8fa1ba2f146db98c1e02df	372b28820e8fa1ba2f146db98c1e02df	5DE8364C	Drawtest by Bastian Schick (199x) (PD).lnx
3f795d8ab20a20939fb376da1a9375a2	3f795d8ab20a20939fb376da1a9375a2	E30F07DE	Dungeon, The V.0x by Matthias Domin (1997) (PD).lnx
25ab9fe41f048b8f83e9b9dd099d3c03	25ab9fe41f048b8f83e9b9dd099d3c03	B5590FB2	Dungeon, The V.11 by Matthias Domin (1998) (PD).lnx
65b8acaf18251ab3225996556ef18f97	65b8acaf18251ab3225996556ef18f97	5B500D7C	Dungeon, The V.12 by Matthias Domin (1998) (PD).lnx
eedd71039918f2deee2c0483d50805aa	eedd71039918f2deee2c0483d50805aa	FD057217	EEPROM Test I2C (199x) (PD).lnx
dbe196382d788df3716bb6fa2f6d176b	917f96ee586de963bcbff1e31bf96cf3	CD9B18D3	Electrocop (1989) [o1].lnx
a3c5d44ec6c81950b0da09f374b39e8b	c49ca94a908db219224c6d5baa206ab6	765D742D	Electrocop (1989).lnx
d9617d52927e657a06fa2924130fb79f	f6b46dfce0339a81261cab03a2619473	D25C3D35	European Soccer Challenge (1993) (Telegames) [o1].lnx
a85db47938120feca5b05d119ccf0e3d	32e726ab7941eb1e833dcc4cf348a060	8EC43452	European Soccer Challenge (1993) (Telegames).lnx
8ec6c6de7fa715782527b9cddb812445	858480bb97d86a52b1ca17dc390a8bdc	A0010717	Eye of the Beholder (Prototype) (1990) (NuFX).lnx
1051dc66891a376db40a502f42064025	69abd21c83390dae54630919c3c150d0	03F4E2A7	Fat Bobby (1997) (Telegames).lnx
28598b4cf75fb34f4a34d6877765c5df	3bd96e17c1b2af5101d1c613446165c0	27D2D190	Fidelity Ultimate Chess Challenge (1991) (Telegames) [o1].lnx
d8be6a65d39e492acf0242966e51be04	19eb0ca77284b5d91a63eb02f6962930	BD77D5F2	Fidelity Ultimate Chess Challenge (1991) (Telegames).lnx
